n_samples,n_features,imbalance_ratio,class_separation,roc_auc,balanced_accuracy,precision,recall,f1_score,best_params
100,150,0.4,1.0,0.3541666666666667,0.33333333333333337,0.3616161616161616,0.35,0.3549872122762149,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 9, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.8999999999999999)}"
100,150,0.4,1.2,0.5729166666666666,0.6458333333333333,0.6585858585858586,0.65,0.6526854219948849,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,150,0.4,1.4,0.5052083333333333,0.5,0.36,0.6,0.45,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(5), 'classifier__min_child_weight': 4, 'classifier__max_depth': 8, 'classifier__learning_rate': np.float64(0.03162277660168379), 'classifier__colsample_bytree': np.float64(0.5)}"
100,300,0.1,0.8,0.25,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 3, 'classifier__max_depth': 9, 'classifier__learning_rate': np.float64(0.03162277660168379), 'classifier__colsample_bytree': np.float64(0.5)}"
100,300,0.1,1.0,0.5833333333333333,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.6)}"
100,300,0.1,1.2,0.33333333333333337,0.4722222222222222,0.8052631578947368,0.85,0.827027027027027,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 2, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.6)}"
100,300,0.1,1.4,0.19444444444444445,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 3, 'classifier__max_depth': 10, 'classifier__learning_rate': np.float64(0.03162277660168379), 'classifier__colsample_bytree': np.float64(0.6)}"
100,300,0.2,0.8,0.859375,0.5,0.64,0.8,0.711111111111111,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(5), 'classifier__min_child_weight': 1, 'classifier__max_depth': 10, 'classifier__learning_rate': np.float64(0.03162277660168379), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,300,0.2,1.0,0.90625,0.5,0.64,0.8,0.711111111111111,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 2, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(0.01), 'classifier__colsample_bytree': np.float64(0.6)}"
100,300,0.2,1.2,0.984375,0.75,0.9111111111111111,0.9,0.8862745098039216,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(5), 'classifier__min_child_weight': 1, 'classifier__max_depth': 9, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.7)}"
